id,SalePrice
2658,118319.28031873115
2718,144690.32511612718
2414,217118.38726827255
1989,116493.71639315036
625,181120.23101827255
333,88942.31156873114
1327,108653.37406873114
858,142478.84281873115
95,176298.57476827255
1568,159976.03031873115
2482,132837.66851827255
1364,122951.21781873115
2584,143063.93656873115
818,274645.20011612715
2673,148664.15531873115
2089,93875.88726827253
1297,157363.53031873115
790,112832.59281873114
2616,206946.26226827255
720,-10524043365721.988
222,148647.40531873115
557,126222.99906873115
1148,174642.51226827255
2766,53925958274.09283
534,171240.01226827255
1452,120659.56156873115
630,114508.46781873114
2648,137079.02889315036
125,169648.79351827255
1904,74123.17782165142
1670,107459.84281873114
756,95697.53031873114
717,218846.99764315036
1032,141139.49906873115
852,211905.88726827255
1731,186670.29386612718
2639,117226.31014315036
2071,106810.31156873114
1267,118013.18656873115
1851,197134.12406873115
567,166626.07476827255
2439,201160.79386612718
1898,149917.96781873115
647,155299.83727299183
2256,186887.48136612718
979,101660.21604297153
1444,214942.16851827255
2485,135723.28031873115
157,137303.10636612718
88,127620.79386612718
2003,112646.59281873114
186,181965.62264315036
1425,224769.82476827255
2695,129049.71781873115
738,96473.91886612716
395,146550.88726827255
1353,160116.65389315036
1878,134448.18656873115
390,144968.81156873115
1456,227232.23101827255
1103,330803.79386612715
1387,146543.49906873115
2070,127266.06156873115
1199,165586.45011612718
2479,162899.54351827255
501,295217.04386612715
2362,91648.21604297153
1718,210371.07476827255
2188,93109.21604297153
1483,146170.54351827255
2557,86210.21781873114
437,355165.76261612715
2224,201333.41851827255
1628,154657.41851827255
397,138140.84281873115
587,195034.73101827255
971,135372.28031873115
2611,138059.54351827255
1887,92847.9442225332
2399,390417.76261612715
2148,189898.69976827255
304,131975.09281873115
1997,122227.62406873115
2817,96816.2435229918
1431,223665.8192225332
427,379863.3872682726
263,127213.96781873115
598,175719.69976827255
2895,227788.51226827255
687,122708.28031873115
1822,140127.34281873115
2191,109268.93656873114
179,116547.65389315036
1009,199511.88761612718
2010,145689.96781873115
1991,141761.74906873115
1411,206455.21781873115
1721,226708.66851827255
1144,201759.63726827255
593,212153.01261612718
575,321610.04386612715
1249,178158.38207038786
1604,125852.59281873115
1064,516946.87187540386
1923,145409.84281873115
1988,119344.21604297154
2325,171091.91886612718
114,191287.07476827255
2700,186903.49906873115
217,158096.71604297156
343,175253.60601827255
386,212798.98136612718
2005,120601.82476827255
2908,162543.71604297156
1814,231113.63726827255
2446,496416.1376161272
208,131064.77889315036
1679,116382.37406873115
822,363323.9497682726
6,196982.20011612718
1781,395583.66886612715
2397,313959.73136612715
2340,317880.60636612715
1618,173880.51261612718
2843,106416.21781873114
1061,370065.20011612715
2786,109299.10601827253
1935,139370.93656873115
1341,93279.66851827253
521,243266.32476827255
2136,120924.90531873115
996,223227.41886612718
227,141204.90531873115
135,195743.5872729918
1167,167884.24906873115
294,226863.28031873115
1776,205814.68656873115
540,158182.40531873115
1717,213685.94976827255
2303,138972.79386612718
116,179084.26226827255
127,129491.46781873115
1371,-17360692244807.504
1014,-3.004389921310034e+16
1507,106252.21604297153
702,103632.71639315036
750,152189.12406873115
261,137564.63207038783
1559,43041.52889315036
577,219588.07476827255
2812,188609.88726827255
2080,161280.49906873115
1368,117223.55836739077
2376,115765.23101827253
659,109930.52889315036
1235,139474.34281873115
332,77810.71604297153
1917,128786.79351827255
2094,225137.57476827255
1460,263611.48136612715
1471,230321.07511612718
1509,119022.81156873115
1922,136695.84281873115
433,486863.3251161272
460,296127.9810182725
1116,229046.48101827255
1137,168604.37406873115
53,169978.48136612718
2354,270627.32511612715
1475,189413.99906873115
1761,452266.43437540386
842,148371.68656873115
2739,186932.20011612718
2509,142517.54351827255
1007,192098.78832038786
2610,182606.69976827255
1952,107895.18514315036
2719,150715.60601827255
2921,78258.78031873114
1966,154922.16851827255
292,106485.05836739075
1204,184658.41851827255
1829,253057.41851827252
2419,189556.20011612718
391,135770.85601827255
798,114809.73462353392
481,188893.35636612718
193,208430.09281873115
555,117506.74906873115
899,34256.28031873115
2357,167086.82476827255
328,129442.48101827255
1356,82212.41744054639
1154,101411.7122729918
1730,178039.63761612718
2249,154369.16851827255
1119,268654.45011612715
2856,159896.84281873115
1394,136814.57476827255
2587,123702.56156873115
61,333037.51261612715
2661,179744.17212353394
2711,139653.4310229918
1147,171074.01226827255
757,116340.62406873115
2623,127243.59281873115
2378,138335.51226827255
1413,132176.46781873115
1722,202186.01226827255
1112,221770.51261612718
1623,197546.95011612718
1201,203973.69976827255
1513,116585.49764315036
957,394601.6060182726
1171,244838.57476827255
1145,183465.51261612718
2726,219284.15531873115
703,134619.01587353394
760,108428.05836739075
1964,147859.2567225332
2512,166469.93656873115
159,146584.3060229918
1281,166297.98101827255
468,175983.51261612718
290,134912.21781873115
665,99551.41744054639
1463,243067.31156873115
1792,231377.98101827255
923,164372.84281873115
500,290044.0122682725
1408,1742201258.216043
331,86709.71604297153
170,130279.96781873115
2192,95019.65531873114
2571,194411.54582800786
2314,178350.38761612718
2647,92150.84139315036
422,431283.41886612715
2457,370623.23136612715
1838,199602.82476827255
