id,SalePrice
2658,181388.10397491278
2718,171645.78453430953
2414,227852.74786553206
1989,102058.48777637305
625,179521.12207875075
333,93770.34246525588
1327,104947.00209674658
858,136864.55742630782
95,184122.8522261125
1568,170728.8579660398
2482,145602.16888556303
1364,133153.3054395658
2584,153780.65534958662
818,271120.0983618242
2673,173184.25897155562
2089,80624.31934389891
1297,176627.36114129843
790,112454.30600151839
2616,233270.92695984663
720,-5408092.186179044
222,143587.26173767867
557,112353.38153848471
1148,190180.26012430014
2766,169766.56831917586
534,197735.04882035078
1452,119497.35212096991
630,111181.13659272017
2648,76537.50271719368
125,148945.11803517165
1904,52118.2334254724
1670,110369.24279064359
756,75794.28348383727
717,194664.89995751204
1032,140219.4246545774
852,211171.39862141432
1731,182447.24218592467
2639,130768.3903158647
2071,108114.82501158537
1267,84228.2540231687
1851,171731.93158469023
567,194306.53698906722
2439,204037.4244774324
1898,132354.74518046202
647,170483.06950745406
2256,220139.43128189864
979,99943.80463013472
1444,230336.39479598822
2485,101223.00587258162
157,117772.94329056563
88,120599.92456517043
2003,122205.0232232553
186,204567.1307220203
1425,245336.12055644812
2695,106002.93773159804
738,105222.88069090666
395,135650.75293907942
1353,172330.37335214438
1878,148337.4820102197
390,150647.71358094038
1456,231030.32597789587
1103,347363.137288664
1387,138976.99325237097
2070,142019.6686194879
1199,176997.40633315267
2479,158045.24890885176
501,301209.1846846086
2362,98556.43597978773
1718,243632.15486368956
2188,47444.846268985886
1483,152890.51605281653
2557,43271.010659073014
437,347408.1947134477
2224,222123.8897346002
1628,154463.92985138716
397,130878.4311069888
587,205894.00065932097
971,135288.33501801314
2611,153376.6620133859
1887,88490.20179972472
2399,343786.63786682906
2148,189136.99325952353
304,112955.51451859297
1997,148630.62141928496
2817,90600.1999131185
1431,185416.6404288751
427,422910.0735538942
263,111172.69362721266
598,178548.02649158658
2895,241299.96611580672
687,126126.63846192183
1822,137912.34179243864
2191,96328.6267839414
179,126778.19443211379
1009,224248.92305645766
2010,129750.76667723479
1991,170270.97311482253
1411,176229.82652911963
1721,263658.08879504027
1144,197927.02766952338
593,222383.97374615492
575,288228.7303045732
1249,174454.09341106238
1604,112250.22178420844
1064,436152.0401216489
1923,153999.71951899352
1988,132268.2765429956
2325,177422.33330092253
114,193387.53815636458
2700,183321.60581764998
217,160682.2631073934
343,182330.67708191695
386,200284.89163163723
2005,133559.6603220445
2908,175964.97698960127
1814,224428.785613392
2446,490909.3325729114
208,161469.45748493494
1679,104072.82066187682
822,330459.9703653795
6,202553.84972081007
1781,368355.09446940245
2397,310444.2535341722
2340,333886.09454903426
1618,171999.86134729208
2843,138737.44851622405
1061,362886.54963359656
2786,117407.71654591383
1935,118624.60223421874
1341,106624.31264171423
521,270611.19679817976
2136,107234.41124567809
996,206236.66512832465
227,149039.93111023726
135,184860.9614008409
1167,167541.96112022223
294,252727.24788895668
1776,203170.87529597105
540,134535.550260399
1717,238992.15486368956
2303,132762.2662909967
116,191252.0277660829
127,111465.85219559493
1371,-1436460.5031509264
1014,163799.56130323233
1507,157605.27975330176
702,132673.59394106688
750,163811.24830708327
261,152248.87644944014
1559,61717.21881732764
577,213021.79772362532
2812,194571.12324127974
2080,164717.8554995996
1368,115259.4090295774
2376,116373.4705518228
659,95031.05052122893
1235,148119.8237825376
332,67058.73716721358
1917,133346.4093955499
2094,216713.51928314986
1460,266699.7161460859
1471,211907.49853358092
1509,123947.123896454
1922,133059.13337168517
433,480251.86376938643
460,299120.69879708113
1116,252264.72288188757
1137,168665.07639369788
53,175137.79060158553
2354,260242.73914704146
1475,185909.09259090247
1761,506811.67482981505
842,140434.33565506758
2739,179099.27226385893
